Concepts,ad_name,SUM of spend,SUM of matched_leads,SUM of booked_appts,SUM of hs_rev,BAR,ROAS,# of Adsets,URL
Promos & Offers,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V1,782.43,0,0,126.31,0%,0.16,1,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/548560728_24215234428161079_2509574841514937189_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=KPN7k4mWkPsQ7kNvwEkxfZW&_nc_oc=AdnLilc6MkGyXh8G7APtKHBIvAmf71nSoelp1bVj9uq69h3X9mkqeRy-W13dwlnqxZ8&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=fy44ZyhjrsrDcJgjCE6EsA&oh=00_AfYfxFVkr0H0USPnPWnBZekbbwHR3Td2jCsNCm4r0hauXg&oe=68DFFE76
Promos & Offers,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V2,1481.34,1,0,547.07,0%,0.37,1,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/547587900_4108063962838094_8633894200957449797_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c02adf&_nc_ohc=C-PiIZd_OzUQ7kNvwFpAl6W&_nc_oc=AdmaKJArYTK-M0ZJVodtBeCeltOLb0OY5huChV1JB2PVybckjBEpunIEl2hZT6grFuw&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=u3JqrFkYpVvjsfuyyHwnuw&oh=00_AfbPzyEgNncCGxL0DZpAfKRO4Ak69PdSdWQJcboUtAYCqQ&oe=68E097A0
Promos & Offers,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:AngiBathCost|f:V3,1275.51,5,0,700.61,0%,0.55,1,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/548024953_1495713624784334_5564801142069949133_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c02adf&_nc_ohc=agM_FEiXt04Q7kNvwGLDuxY&_nc_oc=AdkXlVWxt-Bau-cI9Q4Pbwg51OqYCsvo9JitN7qYRWMlI5HMtCTMf5muZn39gDj4gxE&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=2zwfg61ln7dXwiOZ5IrFiQ&oh=00_AfYBnYoID5z7ZbzPLzerVOOUlFkgAOgIUXh-l-kaDwVH9w&oe=68E09CF7
BEAF Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:90s - Copy,1084.32,4,1,481.41,25%,0.44,1,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528223355_1095196645334610_8184373223283995777_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=pS1d6PBmEI8Q7kNvwFJZyxe&_nc_oc=AdmCVQMasTsx9KfsncD_rGdSJV3_is-4N0Q9fS4rNz58DaEgJP1p66aNxzl1iKAFevI&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=2WVtUDfjfq7exmXee2MiNw&oh=00_AfYZEWtm5tOV6KkW0cQchwJhXf_3VNx7EFd50nNm8O1oCQ&oe=68DFCE4B
BEAF Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:BeforeAfter|f:BathroomV1,3960.39,24,1,3126,4%,0.79,11,https://scontent.fcae1-1.fna.fbcdn.net/v/t45.1600-4/528602946_657154810744043_8666428234305348268_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c02adf&_nc_ohc=7djjMZoi6AEQ7kNvwHYuKcI&_nc_oc=AdnfBnuktjzD8RIYklJ-ev_4CeuTDLUbsu_-eq8cFSQ-58P3y_GSfVJo6zdIKf6iTuY&_nc_zt=1&_nc_ht=scontent.fcae1-1.fna&_nc_gid=0itRaT-NdCP2mlpxN6bB4A&oh=00_AfZyZL168My4dKdZbVYTbDuNBaFgI_38mjeFx3BD8uA4BQ&oe=68E0B3F4
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:#Showers,921.48,5,0,486.58,0%,0.53,9,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528053927_667707079661224_8049850909094681134_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c02adf&_nc_ohc=J0VIyyjSOccQ7kNvwHFY4jm&_nc_oc=AdmqqVKTfQlvROFV27OGoOI1kOJtU5qNIAFCty5E4jQ20JjIxkITwcQRMINDOxVH6NJjfGoTTPO2UMEPSRYJr2Ys&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=TUWt8WVEVkVApYn5ngv3jQ&oh=00_AfZ6v13bmNAKalqrVzfcw1rnRjOIOGNbyhnYcM3EWhyU1g&oe=68E2DBEA
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:Cleobathra,1641.57,5,2,623.69,40%,0.38,9,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528816672_773797905092421_879389118471620444_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=108&ccb=1-7&_nc_sid=19da1b&_nc_ohc=tzjgX5QJ3JYQ7kNvwHx-4iX&_nc_oc=Adl9jCBm7trzqQ8X2dHvlSv92pVlFlkAbzvLrcLX0b1-o92uoUzvTxvspnemvDT_QtuT8S1oGthasEXi1E4LkBLK&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=-i3yazk5JjiO4LC0NeuaiQ&oh=00_AfY_DrnhjaMMDBkFIkDwFonC6tmSdHSXg7B7NGIsJuaaEQ&oe=68DCAB02
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:FloorplanShowerLargeV2,814.41,7,1,807.06,14%,0.99,10,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/529419575_1366511574447477_6094968126788840509_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c02adf&_nc_ohc=_2KiVLBK2l4Q7kNvwGQTcI4&_nc_oc=Adlmx88qJs1FSRxi0hUwghHRNSB2YyLY5NeNVyoT59DlCtBnL9TJN-D4jODfxosAw7KD21PaJ9GEHMDQj4VT7sni&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&_nc_gid=2N89JZjYAht7ok96rs5GFg&oh=00_Afbz7VFV_-6MkHliVHvMd2n5_9yGT3qOwoS3aUJvl2my1Q&oe=68E2CC34
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:PersonShower,1899.29,12,1,1175.52,8%,0.62,9,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528079935_767964092434727_2249752538162785587_n.png?stp=cp0_dst-jpg_p640x640_q90_spS444_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c02adf&_nc_ohc=uS5buYzlzK4Q7kNvwEWkXjL&_nc_oc=Admd-FwYPaCIP-gIRu7SmbGeFtMpjYf5x7Wow9iO45zRdFpVq3LvaFFjobUB1yausdbmMNamrPlotGmCoB5kgfR1&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&_nc_gid=y3D5LllTTXZVM4kZy77cOg&oh=00_AfZjUN1l9kCRXcfPVLwJke5oJ0558wBm8Hw4wDJX7d_mNQ&oe=68DCC630
Clicky Images,d:Ad|c:Bath|b:Nonbrand|s:Internal|ty:Image|st:ClickyQuestion|f:SqftShowerLargeV2,3078.47,18,0,2222.09,0%,0.72,10,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/528195395_804316528768343_1876161745433064487_n.png?stp=dst-jpg_tt6&_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=u55Fw7JUUI8Q7kNvwHoHCYS&_nc_oc=AdlravZ8ZByLBlhU2h4rVr19sfmPGlKozznZqWgJ3xZNoW_TYwMhTzWO6z8DEMZHuSE&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=2WVtUDfjfq7exmXee2MiNw&oh=00_AfZRaz1vDl-hmFj6e5cMSy1CZibRnBHCqzMYcZw97fB8IQ&oe=68DFF3CE
