ad_name,Targeting,Spend,BAR,ROAS,CTR,CVR
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_,Appts,"$16,276.54",17%,1.00,0.83%,1.79%
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_,Lead+Book Appt,"$15,265.74",12%,1.27,0.73%,1.98%
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_,Lead+Iss.Appt,"$1,511.55",6%,1.69,0.84%,2.36%
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_,Leads,"$34,524.06",12%,1.27,0.82%,1.91%
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_,Purchase Value,"$48,979.95",12%,1.31,0.76%,2.16%
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_,Purchases,"$51,801.83",7%,2.18,0.93%,3.40%
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_ Total,,"$168,359.67",10%,1.54,0.82%,2.45%
V5_BOGO+BNPL_EvergreenOffer__IMG_LearnMore_lead,Appts,$896.20,29%,1.17,0.65%,3.83%
V5_BOGO+BNPL_EvergreenOffer__IMG_LearnMore_lead,Lead+Book Appt,$645.95,33%,0.70,0.38%,3.30%
V5_BOGO+BNPL_EvergreenOffer__IMG_LearnMore_lead,Leads,"$82,283.04",31%,0.88,0.45%,4.10%
V5_BOGO+BNPL_EvergreenOffer__IMG_LearnMore_lead Total,,"$83,825.19",31%,0.88,0.45%,4.09%
Whiteboard_ClickyStateBrand_Cost_IMG_LearnMore_,Purchases,"$70,230.59",16%,1.07,0.93%,2.65%
Whiteboard_ClickyStateBrand_Cost_IMG_LearnMore_ Total,,"$70,230.59",16%,1.07,0.93%,2.65%
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Appts,"$11,149.51",13%,0.96,1.98%,0.95%
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Lead+Book Appt,"$29,816.03",10%,1.21,2.32%,0.73%
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Lead+Iss.Appt,"$3,959.04",15%,1.25,2.21%,0.62%
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Leads,"$7,488.65",10%,1.40,2.84%,1.14%
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Purchases,"$5,625.14",5%,1.95,3.69%,2.70%
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_ Total,,"$58,038.37",10%,1.26,2.34%,0.90%
Whiteboard_ClickyNumberWindowsBrand_V3_IMG_LearnMore_,Purchases,"$55,691.32",19%,1.00,0.31%,4.23%
Whiteboard_ClickyNumberWindowsBrand_V3_IMG_LearnMore_ Total,,"$55,691.32",19%,1.00,0.31%,4.23%
BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_,Appts,$312.80,100%,0.48,0.57%,1.54%
BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_,Leads,"$51,324.90",18%,1.00,0.37%,5.04%
BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_ Total,,"$51,637.70",18%,1.00,0.37%,5.01%
Whiteboard_ClickyStateBrand_Offers_IMG_LearnMore_,Purchases,"$27,743.40",18%,1.21,0.86%,3.06%
Whiteboard_ClickyStateBrand_Offers_IMG_LearnMore_ Total,,"$27,743.40",18%,1.21,0.86%,3.06%
Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Appts,"$6,159.31",21%,0.71,1.29%,0.65%
Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Lead+Book Appt,"$4,086.73",6%,1.25,1.67%,0.94%
Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Lead+Iss.Appt,"$4,429.24",7%,0.95,1.69%,0.43%
Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Leads,"$2,798.32",11%,0.96,2.34%,0.89%
Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,Purchase Value,"$6,881.17",11%,1.98,2.14%,2.41%
