ad_name,8/4,8/11,8/18,8/25,9/1,9/8,9/15,9/22,1
Whiteboard_V2_HeresHowMuchYouShouldPay__VID_LearnMore_,1.87,2.26,0.58,1.24,1.02,0.81,0.87,1.09,1
Whiteboard_justgarry_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,0.94,0.46,1.34,1.07,1.7,1.3,1.4,1.28,1
Whiteboard_deviousdan_Cost_HereswhatXshouldcostyouin2025_IMG_LearnMore_,2.38,1.08,0.44,2.52,1.26,0.84,1.52,0.41,1
Whiteboard_ClickyStateBrand_Upgrade_IMG_LearnMore_,0,0,1.26,0.72,1.69,2.35,0.33,1.87,1
Whiteboard_ClickyStateBrand_Offers_IMG_LearnMore_,1.34,1.56,0.9,1.46,0.73,0.2,1.34,,1
Whiteboard_ClickyStateBrand_EnergyBills_IMG_LearnMore_,0,0,2.35,1.92,2.83,4.11,0.64,2.02,1
Whiteboard_ClickyStateBrand_Cost_IMG_LearnMore_,1.55,2.01,1.16,1.09,0.74,1.02,0.87,1.24,1
Whiteboard_ClickyNumberWindowsBrand_V3_IMG_LearnMore_,1.54,1.09,1.37,0.91,0.95,0.7,0.81,0.89,1
Whiteboard_ClickyNumberWindowsBrand_V2_IMG_LearnMore_,0.87,1.24,1.45,1.47,1.48,1.05,0.64,0,1
Whiteboard_ClickyNumberWindowsBrand_V1_IMG_LearnMore_,1.92,0.59,1.03,,,,,,1
V5_BOGO+BNPL_EvergreenOffer__IMG_LearnMore_lead,1.18,1.04,0.92,0.8,0.92,0.76,0.79,0.87,1
V2_BOGOEvergreenOffer__IMG_LearnMore_lead,2.18,0,0,1.5,0.68,0.71,1.65,0,1
Install_V3_RbABrand__VID_LearnMore_,0.51,0.49,0.41,2.68,7.53,0,1.33,0,1
Greenbar_V1_BNPLEvergreenOffer__IMG_LearnMore_lead,0.5,0,0,2.03,0,2.04,1.34,1.36,1
d:Ad|c:Windows|b:RBA|s:VSLQueen|ty:Video|st:Offer|f:KendallReEdit,,,,,0.61,0.76,0,,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Solution|f:CaulkingVideos,,,,,,1.65,1.07,0.65,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:ClickyWindowV2,,,,0.47,1.03,,,,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:ClickyStateV1,,,,0.42,1.25,,,,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BNPLBOGOpromo,,,1.15,0.23,0,,,,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BNPLBOGOLongForm,,,0.51,0.54,0.81,,,,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Offer|f:BEAFClickyBNPLBOGO,,,,0.63,0.54,,,,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Video|st:Issue|f:RideAlong0902WoodRot,,,,,,,0.61,1.22,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV2,,,,,,1.08,0.89,0.46,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV1,,,,,,0.95,1.07,1.5,1
d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:B&A|f:BOGOBNPLV1,,,,,,0.38,0,,1
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:WillHook5,,,,,,,0.32,0.53,1
d:Ad|c:Windows|b:RBA|s:Cousin|ty:Video|st:UGC|f:WillHook4,,,,,,,0.59,0.15,1
