ad_name,creative_url,ad_id,,,Has Traits?
BeautyShot_V1_BNPLEvergreenOffer__IMG_LearnMore_,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/523496745_1079364613787175_8269017604398404187_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=fZqP45QIgwUQ7kNvwFIo9tp&_nc_oc=AdlhXOt-WUAoVDbmnB74uMU_NJkaSEFJcqbDdW7hiLJ6rfWMXQj7gHCL9EzF95ugvdQ&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=p9aad7N-wF4R7gSflohzdA&oh=00_AfbRJCFRNpJ-fUpV58uPzv6ZDOuQxDdBNvSR-RWsU8nBow&oe=68D8CC65,120232181584590496,,,BeautyShot_V1_BNPLEvergreenOffer__IMG_LearnMore_
BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/523979476_1523126929096157_2942751529007978992_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=cniEnxNJsVQQ7kNvwHM9BC-&_nc_oc=AdktL0sMjX7YoIsb1KXkMT23_Mh6QjAROp-kmg8CvKKypNi6YmJtgwG1R-BCmHWx-Dk&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=CRPL3v7piZewLVpxtTvdGA&oh=00_AfZGTZr2qd5aaX1eu_ou-kHbaVkt7CvlCLK8_RDi_hvqbg&oe=68C585F5,120232181584630496,,,BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_
BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_lead,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/520278488_1498898471072834_8140293143246782865_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=3SLqd-5oiXYQ7kNvwGMl7Ox&_nc_oc=AdmJou-EH-8VZz7BGZEaFRAvQi9jNW9TSKCohpo6dx4_nLmXcK8qnKEvS1bYRz1oMrA&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=LfmuArsXQvmCw-cnDWhW1A&oh=00_AfY38k4vH3KPijViOUFFK7eKbvRxxcW3VBVX6qXbVnCocg&oe=68C5A6C1,120232185277010496,,,BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_lead
BeautyShot_V3_BNPLEvergreenOffer__IMG_LearnMore_,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/523928364_1729616241020327_5481099485143064330_n.png?stp=dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=890911&_nc_ohc=jMP8UIjpYBMQ7kNvwFjdmnq&_nc_oc=AdnloWFJ6tWCDwSqiJuV889Xkd1XkAY3Q50apv9nrQxgRKyNqOfayzo0bWxI7bqH65E&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=-nzt9ywiaAPs0ecidsR1fQ&oh=00_AfeS1AtEyBRh9JSrDE5D3bx53JtRw3sZL2QehNrmj3SX1w&oe=68ED2B23,120232181584600496,,,BeautyShot_V3_BNPLEvergreenOffer__IMG_LearnMore_
BeautyShot_V4_BNPLEvergreenOffer__IMG_LearnMore_lead,,120232185277000496,,,BeautyShot_V4_BNPLEvergreenOffer__IMG_LearnMore_lead
BeautyShot_V5_BNPLEvergreenOffer__IMG_LearnMore_,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/523904400_1290901799225290_1547919489652125430_n.png?stp=dst-jpg_tt6&_nc_cat=111&ccb=1-7&_nc_sid=890911&_nc_ohc=cDrCG9T6vXIQ7kNvwF9PWG2&_nc_oc=Adk5pM0mMydVVWnQ29pmT9YMb_M4AuGTS1z-zK5ZR0lWLmQhvDUvsB4WB5gQ3Rh1aD4&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=Og3qoBts8DTArHFzhfDSvA&oh=00_AfalT296xr191AKtQkA2r0JXwakQbeRwrtyvxZ8hU5bn-Q&oe=68C58B76,120232181584620496,,,BeautyShot_V5_BNPLEvergreenOffer__IMG_LearnMore_
BeforeAfter_ClickyNumberWindowsBrand_V2_IMG_LearnMore_,https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/524732483_1264960821939673_7939941906664181904_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=b4_6soTb42cQ7kNvwHOj-5m&_nc_oc=AdlQN--qxsHkhqC-Q_Z0VNUhDt2T2Tp86nlDkUyWwxGs4EOPGG-8LA_dsCrUXOcduts&_nc_zt=1&_nc_ht=scontent-iad3-2.xx&edm=AAT1rw8EAAAA&_nc_gid=JkGnLhbQlHBed6kV2MV2cw&oh=00_AfasZ1f6eSTmyI0zO9tvtV0cbz_sj1Gq8NS7ZDjLSF47yg&oe=68C4B735,120231157143500563,,,BeforeAfter_ClickyNumberWindowsBrand_V2_IMG_LearnMore_
BeforeAfter_ClickyNumberWindowsBrand_V3_IMG_LearnMore_,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/524386464_1151834420106796_5722372765798221673_n.png?stp=dst-jpg_tt6&_nc_cat=104&ccb=1-7&_nc_sid=890911&_nc_ohc=MswqV3nVhW8Q7kNvwF9Y-Oo&_nc_oc=AdkszNcUXdcBz_objJe0oAutlbpMOt-LNK2AGqrLCHLgkrITgBfRM6FErQKtJ47aa40&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=wfJLjGhi3tYm5VL3MsQWVw&oh=00_Afb_BW_nwN4hbW966cvzX2o1KGBW8cPhaRT5t8RkzmfeXw&oe=68C49B1D,120231157143520563,,,BeforeAfter_ClickyNumberWindowsBrand_V3_IMG_LearnMore_
BeforeAfter_ClickyNumberWindowsBrand_V4_IMG_LearnMore_,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/525012496_4116368105284990_84911117734127990_n.png?stp=dst-jpg_tt6&_nc_cat=109&ccb=1-7&_nc_sid=890911&_nc_ohc=R2MvJTNB58wQ7kNvwEGy74B&_nc_oc=Adm8Y6khJAsRN2P5OKNFU69jRmgKd5eJxWdDpKewPtS1JF-mbqLsr7jcgryhmHXlFC0&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=eCYRudWd-1Mui0Y2K_KacA&oh=00_AfaUFM-VUZD--ywroUeLFgblkyojjKK99ZNAZiUHAb8v5A&oe=68C4978D,120231157323460563,,,BeforeAfter_ClickyNumberWindowsBrand_V4_IMG_LearnMore_
BeforeAfter_Cost_V1_IMG_LearnMore_,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/513544520_1119661466638682_6318564821849170771_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=890911&_nc_ohc=NMAYa2WpL0kQ7kNvwFjn21e&_nc_oc=AdlrTk7ujwV0n7N_SGV_UY-V0_HWGHPPF9Joni2JzK0hNV_V5IAcIbS0HPGkSslA434&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=X8NrY_UzReCZILMDuzTv-A&oh=00_AfeaSzj94QYXzzFQxYAjQnBrK5-GO5ZW5sGR4VnU8VVObA&oe=68ED4C10,120233798573770563,,,BeforeAfter_Cost_V1_IMG_LearnMore_
BeforeAfter_Cost_V2_IMG_LearnMore_,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/517902358_1660927297950435_781273645598318587_n.jpg?_nc_cat=100&ccb=1-7&_nc_sid=890911&_nc_ohc=GAvhO3t2MrgQ7kNvwGPxxnQ&_nc_oc=Adm8YMvG8dhuZojTVsdLIiIyx0shvAhj06nE7iG922pOTRZUNg9i8Plxum-ypROhna4&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=-nzt9ywiaAPs0ecidsR1fQ&oh=00_AfcQweGw6qxq_PwfboHa13C4BuVyWS_29i_9gr88fyBa5A&oe=68ED1858,120233798573810563,,,BeforeAfter_Cost_V2_IMG_LearnMore_
Clicky_NumberWindowsBrand_V1_IMG_LearnMore_,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/517286404_1028491909268072_7935885785350343579_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=890911&_nc_ohc=S2F8cSEGU9wQ7kNvwEOX9bK&_nc_oc=AdncYOpvQVWp10t3zy2DzA28OnCjgeEtSBVUaYSDGjpha-nBJuNAJs2uBFiQfaf00is&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=-nzt9ywiaAPs0ecidsR1fQ&oh=00_AfccQoGhAB7Vtdrv7lfOE11g7LbjpyW7169TPC5ZfpJcgA&oe=68ED3999,120233798573840563,,,Clicky_NumberWindowsBrand_V1_IMG_LearnMore_
Clicky_NumberWindowsBrand_V2_IMG_LearnMore_,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/514189804_714490281194897_8827955731591923313_n.png?stp=dst-jpg_tt6&_nc_cat=105&ccb=1-7&_nc_sid=890911&_nc_ohc=vATNefK_SRAQ7kNvwHctJ-e&_nc_oc=AdnLZmBTpmF5jKkg9R9C1OUeTgPg0BqpeqrIX1deEMbu6e3HPQLpkQlXjPwR4LJ7lzQ&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=1MEz0AZnfAeSiqUdVIBPKg&oh=00_AffMB0IF7nZ_g7H3NV-sw3p3MpuotUUhp27sc3yS3Y55hA&oe=68ED1F30,120233798573800563,,,Clicky_NumberWindowsBrand_V2_IMG_LearnMore_
Clicky_NumberWindowsBrand_V3_IMG_LearnMore_,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/513070731_599090493256205_5204004239424316786_n.png?stp=dst-jpg_tt6&_nc_cat=108&ccb=1-7&_nc_sid=890911&_nc_ohc=cXE9gi6CeQIQ7kNvwHQFK3Y&_nc_oc=AdkCjPFU8wIneY2L5cnmpgoNGxNytOaQ1Ldg1-jkwbnHDzybOBpBQNyb7IrH2I_vk38&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=M4z8rpnki90pW869ao3LQw&oh=00_AffOBNbIIAb10FMyRdTV_MknIdwSKnjmpQ-aZG-rV6f0Pg&oe=68ED1A63,120233798573630563,,,Clicky_NumberWindowsBrand_V3_IMG_LearnMore_
Clicky_StateBrand_Cost_IMG_LearnMore_,https://scontent-ord5-1.xx.fbcdn.net/v/t45.1600-4/511734098_1955130175233245_5101499800319309626_n.png?stp=dst-jpg_tt6&_nc_cat=111&ccb=1-7&_nc_sid=890911&_nc_ohc=Puml0JBqTS0Q7kNvwEkdpfv&_nc_oc=AdnHopKVS2tTkrSoqWB_b06uOVZkdok_RyIt32X5zUkyJ-kzeUfrlcJqGeTdIOnRTg0&_nc_zt=1&_nc_ht=scontent-ord5-1.xx&edm=AAT1rw8EAAAA&_nc_gid=hfA0rtJWzLK57EAwwze4xA&oh=00_AffvTFERpeXkeq-h6LxAXGI7BK12kDp-t4IimXDCSN1MAg&oe=68ED4ABD,120233798573670563,,,Clicky_StateBrand_Cost_IMG_LearnMore_
Clicky_StateBrand_EnergyBills_IMG_LearnMore_,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/498944742_23879847971706414_4518421273639078573_n.png?stp=dst-jpg_tt6&_nc_cat=103&ccb=1-7&_nc_sid=890911&_nc_ohc=8bKXjJuYSbQQ7kNvwFqit1Y&_nc_oc=AdkoZQ1rg9pD6XZPw-Xj0_hwf1loPkhzr8qbU_0EY2GX0sE0KLcRR5v9es5zPgE_2t4&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=M4z8rpnki90pW869ao3LQw&oh=00_AffvxkJIrvStWws4l77WFwb-hafvUsbXGCgUwnht4lTQ9A&oe=68ED28C7,120233798573790563,,,Clicky_StateBrand_EnergyBills_IMG_LearnMore_
Clicky_StateBrand_Offers_IMG_LearnMore_,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/518821267_1811191406408997_7526535513163691906_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=890911&_nc_ohc=okv0P-v-1tEQ7kNvwFx84Io&_nc_oc=AdlOEEfBodZL8pHA412Z5EVWbD-_aaPLP4gAYgE4So-qqDryryoMpgllD74Q0Mcxnf0&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=-nzt9ywiaAPs0ecidsR1fQ&oh=00_Afd853OVs1dOFXmF6eww01c-h4OLHuin0ZoC2Tu283YD3A&oe=68ED330E,120233798573690563,,,Clicky_StateBrand_Offers_IMG_LearnMore_
Clicky_StateBrand_Upgrade_IMG_LearnMore_,https://scontent-ord5-2.xx.fbcdn.net/v/t45.1600-4/513072266_1816381535593356_6792188745186520911_n.png?stp=dst-jpg_tt6&_nc_cat=102&ccb=1-7&_nc_sid=890911&_nc_ohc=TSDOfDYb5dMQ7kNvwEzxyIl&_nc_oc=AdmofwEpfmUk4gUDNwLHngO7CGGhDXtcWPzgpicdjcZaCze_u6kWx1UOHPSBxQp7wHA&_nc_zt=1&_nc_ht=scontent-ord5-2.xx&edm=AAT1rw8EAAAA&_nc_gid=jljkO1YtdBfBY4mgWiWw5Q&oh=00_AfeZz2005uokJvkDrBqwn1aIdl4Ocu_aq0V9LKGpKjDLIA&oe=68ED44CE,120233798573760563,,,Clicky_StateBrand_Upgrade_IMG_LearnMore_
Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_,https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/517215955_1254814949682199_3402503473777735930_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=890911&_nc_ohc=exIhJQvikksQ7kNvwGNCo3O&_nc_oc=AdmEHkvfn42BMPFtvYPizvz3nq3SgtZUHqcPEnJU13DuA5CxGXsNo_FZ43KS8bc6y_I&_nc_zt=1&_nc_ht=scontent-iad3-1.xx&edm=AAT1rw8EAAAA&_nc_gid=Kn_wLI1g_ezVVxMgkHWKAA&oh=00_AfY375itnLYNWkJLCmstaMkFRDur6GhQdwk96oF-SEE1gg&oe=68C49CC0,120233798573640563,,,Clicky_V1_Cost_HowMuchshouldXActuallyCostin2025_IMG_Square_
Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_,https://scontent-ord5-3.xx.fbcdn.net/v/t45.1600-4/486723378_1140217207880932_4846594443513150965_n.png?stp=dst-jpg_tt6&_nc_cat=107&ccb=1-7&_nc_sid=890911&_nc_ohc=hffqTJWqc90Q7kNvwGJr018&_nc_oc=Adn7MNg71_2EvKfSRKidaeeA9lkvAuSRVJN7tn-N5soW3iyFb0-qG04EItUG2MrBBTI&_nc_zt=1&_nc_ht=scontent-ord5-3.xx&edm=AAT1rw8EAAAA&_nc_gid=RV13n_kPjFphu6hn9MZT6g&oh=00_AfcrzcxTOz1TtBPGn5YVGLjXObgBubFQgTZhwKFdeSUrtw&oe=68ED21A2,120233798573860563,,,Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_
Clicky_V3_Cost_HowMuchDoesXActuallyCost_IMG_Square_,,120232980195070563,,,Clicky_V3_Cost_HowMuchDoesXActuallyCost_IMG_Square_
Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,,120233798573710563,,,Clickylavin_v2_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_
Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_,,120233798573740563,,,Clickylavin_v3_Cost_hereswhatXshouldactuallycostyou_IMG_LearnMore_
