Dataset,Ad Name,Concept,Spend,ROAS,BAR,Status,URL
"Windows","BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_","Promos & Offers",51642.2,1,"19%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/523979476_1523126929096157_2942751529007978992_n.p..."
"Windows","BeautyShot_V2_BNPLEvergreenOffer__IMG_LearnMore_lead","Promos & Offers",1475.19,0.81,"0%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/520278488_1498898471072834_8140293143246782865_n.p..."
"Windows","BeautyShot_V5_BNPLEvergreenOffer__IMG_LearnMore_","Promos & Offers",11482.9,1.07,"17%","Error 403","https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/523904400_1290901799225290_1547919489652125430_n.p..."
"Windows","BeforeAfter_ClickyNumberWindowsBrand_V2_IMG_LearnMore_","BEAF Images",3541.24,1.48,"9%","Error 403","https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/524732483_1264960821939673_7939941906664181904_n.p..."
"Windows","BeforeAfter_ClickyNumberWindowsBrand_V3_IMG_LearnMore_","BEAF Images",18706.53,1.44,"15%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/524386464_1151834420106796_5722372765798221673_n.p..."
"Windows","BeforeAfter_ClickyNumberWindowsBrand_V4_IMG_LearnMore_","BEAF Images",5793.13,0.78,"10%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/525012496_4116368105284990_84911117734127990_n.png..."
"Windows","Clicky_NumberWindowsBrand_V3_IMG_LearnMore_","Clicky Images",1500.48,1.3,"8%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/513070731_599090493256205_5204004239424316786_n.pn..."
"Windows","Clicky_StateBrand_EnergyBills_IMG_LearnMore_","Clicky Images",1982.15,0.38,"0%","Error 403","https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/498944742_23879847971706414_4518421273639078573_n...."
"Windows","Clicky_StateBrand_Offers_IMG_LearnMore_","Clicky Images",5410.67,1.3,"17%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/512261879_1734031000819861_289641535304417243_n.pn..."
"Windows","Clicky_V2_Cost_HowMuchDoesXActuallyCost_IMG_Square_","Clicky Images",1877.94,0.64,"0%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/486723378_1140217207880932_4846594443513150965_n.p..."
"Windows","d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:B&A|f:BOGOBNPLV1","BEAF Images",2173.03,0.35,"20%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/545446815_818145697216340_6599409071113371078_n.pn..."
"Windows","d:Ad|c:Windows|b:RBA|s:Internal|ty:Image|st:Clicky|f:CostV1","Clicky Images",13082.9,1.11,"25%","Error 403","https://scontent-iad3-2.xx.fbcdn.net/v/t45.1600-4/511734098_1955130175233245_5101499800319309626_n.p..."
"Windows","Greenbar_V1_BNPLEvergreenOffer__IMG_LearnMore_lead","Promos & Offers",1916.01,1.02,"8%","Error 403","https://scontent-iad3-1.xx.fbcdn.net/v/t45.1600-4/526600589_756025654256665_6416982328926687738_n.pn..."
