assetname,Image URL,assetid,Headline,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,24575436,Luxury Replacement Windows That Elevate Every Room,"3,272",49,0,0,6,0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,24575441,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"26,898,461","199,233",308,"19,350","28,974",33
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,24575451,Here's What Windows Should Cost You in 2025,257,2,0,0,0,0
uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,https://images.mediago.io/ML/286480a1abd3ae04d876209b049527d6__scv1__320x180.png,24575450,Here's What Windows Should Cost You in 2025,11,0,0,0,0,0
d0a3c92c-4fb9-451c-91ad-6291077fb5a0,https://images.mediago.io/ML/e5dc5b177b2f2eb36d9cbfe6f852b118__scv1__320x180.png,24575434,Luxury Replacement Windows That Elevate Every Room,449,8,0,0,1,0
d0a3c92c-4fb9-451c-91ad-6291077fb5a0,https://images.mediago.io/ML/e5dc5b177b2f2eb36d9cbfe6f852b118__scv1__320x180.png,24575439,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"217,459","1,841",0,0,411,0
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,24575447,Here's What Windows Should Cost You in 2025,5,0,0,0,0,0
Man on ladder,https://images.mediago.io/ML/e835fb6a40877bcbdf61956179442288__scv1__320x180.png,24575438,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"971,872","6,347",7,300,"1,299",0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,24575431,Replace Windows in Your ZIP,"189,078","1,524",0,0,118,0
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,24575427,Replace Windows in Your ZIP,796,23,0,0,2,0
uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,https://images.mediago.io/ML/286480a1abd3ae04d876209b049527d6__scv1__320x180.png,24575435,Luxury Replacement Windows That Elevate Every Room,32,0,0,0,0,0
uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,https://images.mediago.io/ML/286480a1abd3ae04d876209b049527d6__scv1__320x180.png,24575440,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"71,121",520,0,0,108,0
d0a3c92c-4fb9-451c-91ad-6291077fb5a0,https://images.mediago.io/ML/e5dc5b177b2f2eb36d9cbfe6f852b118__scv1__320x180.png,24575429,Replace Windows in Your ZIP,"17,946",250,0,0,29,0
d0a3c92c-4fb9-451c-91ad-6291077fb5a0,https://images.mediago.io/ML/e5dc5b177b2f2eb36d9cbfe6f852b118__scv1__320x180.png,24575449,Here's What Windows Should Cost You in 2025,590,4,0,0,0,0
Man on ladder,https://images.mediago.io/ML/e835fb6a40877bcbdf61956179442288__scv1__320x180.png,24575428,Replace Windows in Your ZIP,"21,164",388,0,0,27,0
uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,https://images.mediago.io/ML/286480a1abd3ae04d876209b049527d6__scv1__320x180.png,24575445,"Strong, Weatherproof Windows for Any Climate","9,856",141,0,0,16,0
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,24575437,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"1,425,272","7,975",17,"1,850","3,009",1
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,24575442,"Strong, Weatherproof Windows for Any Climate","15,892",180,0,0,22,0
Man on ladder,https://images.mediago.io/ML/e835fb6a40877bcbdf61956179442288__scv1__320x180.png,24575448,Here's What Windows Should Cost You in 2025,39,0,0,0,0,0
uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,https://images.mediago.io/ML/286480a1abd3ae04d876209b049527d6__scv1__320x180.png,24575430,Replace Windows in Your ZIP,"13,092",247,0,0,18,0
d0a3c92c-4fb9-451c-91ad-6291077fb5a0,https://images.mediago.io/ML/e5dc5b177b2f2eb36d9cbfe6f852b118__scv1__320x180.png,24575444,"Strong, Weatherproof Windows for Any Climate","44,998",519,0,0,72,0
Man on ladder,https://images.mediago.io/ML/e835fb6a40877bcbdf61956179442288__scv1__320x180.png,24575443,"Strong, Weatherproof Windows for Any Climate","73,787",940,1,50,123,1
Man on ladder,https://images.mediago.io/ML/e835fb6a40877bcbdf61956179442288__scv1__320x180.png,24575433,Luxury Replacement Windows That Elevate Every Room,703,8,0,0,2,0
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,24575432,Luxury Replacement Windows That Elevate Every Room,"12,128",558,0,0,20,0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,24575446,"Strong, Weatherproof Windows for Any Climate","44,205",643,0,0,80,0
Man on ladder,https://images.mediago.io/ML/e835fb6a40877bcbdf61956179442288__scv1__320x180.png,24858831,"Strong, Weatherproof Windows for Any Climate","88,492",416,2,100,112,0
Man on ladder,https://images.mediago.io/ML/e835fb6a40877bcbdf61956179442288__scv1__320x180.png,24858826,Luxury Replacement Windows That Elevate Every Room,"128,506",483,1,50,156,0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,24858834,"Strong, Weatherproof Windows for Any Climate","41,004",241,0,0,108,0
uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,https://images.mediago.io/ML/286480a1abd3ae04d876209b049527d6__scv1__320x180.png,24858833,"Strong, Weatherproof Windows for Any Climate","10,641",43,0,0,15,0
uri_ifs___m_ujska9wnfvcp8n3hzekxy2yphsfdtma5bvfdsroh3em__1__720,https://images.mediago.io/ML/286480a1abd3ae04d876209b049527d6__scv1__320x180.png,24858828,Luxury Replacement Windows That Elevate Every Room,"35,651",181,0,0,42,0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,24858829,Luxury Replacement Windows That Elevate Every Room,"1,076,084","4,720",7,350,"1,208",1
d0a3c92c-4fb9-451c-91ad-6291077fb5a0,https://images.mediago.io/ML/e5dc5b177b2f2eb36d9cbfe6f852b118__scv1__320x180.png,24858827,Luxury Replacement Windows That Elevate Every Room,"17,654",56,0,0,16,0
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,24858825,Luxury Replacement Windows That Elevate Every Room,"56,254",326,0,0,78,0
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,24858830,"Strong, Weatherproof Windows for Any Climate","11,847",57,0,0,16,0
d0a3c92c-4fb9-451c-91ad-6291077fb5a0,https://images.mediago.io/ML/e5dc5b177b2f2eb36d9cbfe6f852b118__scv1__320x180.png,24858832,"Strong, Weatherproof Windows for Any Climate",858,0,0,0,0,0
MediaGo Asset 2,https://images.mediago.io/ML/5a2bdd7b7ffa10d8241cd6f9c067caa2__scv1__624x350.png,24915003,"Strong, Weatherproof Windows for Any Climate","31,329",155,0,0,44,0
MediaGo Asset 1,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,24915002,"Strong, Weatherproof Windows for Any Climate","99,697",738,0,0,175,0
MediaGo Asset 1,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,24915000,Luxury Replacement Windows That Elevate Every Room,"149,186","1,228",0,0,233,0
MediaGo Asset 2,https://images.mediago.io/ML/5a2bdd7b7ffa10d8241cd6f9c067caa2__scv1__624x350.png,24915001,Luxury Replacement Windows That Elevate Every Room,"252,599","1,579",0,0,326,0
MediaGo Asset 1,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,24915304,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"1,190,218","6,051",14,"1,300","2,258",0
MediaGo Asset 2,https://images.mediago.io/ML/5a2bdd7b7ffa10d8241cd6f9c067caa2__scv1__624x350.png,24915303,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"1,517,004","6,374",11,700,"1,974",0
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,25113750,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"74,129",413,1,50,152,0
MediaGo Asset 2,https://images.mediago.io/ML/5a2bdd7b7ffa10d8241cd6f9c067caa2__scv1__624x350.png,25113754,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"687,327","2,364",10,500,788,3
Dark before and after,https://images.mediago.io/ML/e9c7c1fd2f8a4d558149f6fd62ec7111__scv1__320x180.png,25113752,Here's What Windows Should Cost You in 2025,"12,914",85,0,0,18,0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,25113753,Here's What Windows Should Cost You in 2025,"93,180",472,1,0,103,0
MediaGo Asset 1,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,25113755,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"260,385","1,331",1,50,399,0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,25113751,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"6,802,025","42,909",48,"2,200","5,423",4
MediaGo Asset 2,https://images.mediago.io/ML/5a2bdd7b7ffa10d8241cd6f9c067caa2__scv1__624x350.png,25113756,Here's What Windows Should Cost You in 2025,"46,106",203,1,50,57,1
MediaGo Asset 1,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,25113757,Here's What Windows Should Cost You in 2025,"15,148",63,1,50,16,0
MediaGo Asset 2,https://images.mediago.io/ML/5a2bdd7b7ffa10d8241cd6f9c067caa2__scv1__624x350.png,25113634,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"6,221,699","7,081",43,"3,550","5,450",8
MediaGo Asset 1,https://images.mediago.io/ML/92180d282b85ad3015ca2dcc9452a2b4__scv1__624x350.png,25113635,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"17,364,153","15,761",126,"15,350","16,603",19
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,25113633,Here's What Windows Should Cost You in 2025,"435,649",639,2,100,379,0
image,https://images.mediago.io/ML/876a5b66c9864b642bf6b22146d10bc9__scv1__624x350.png,25113632,${LOCATION_CITY} : How Much Does It Cost To Replace Old Windows?,"28,985,471","37,718",272,"32,000","38,220",41
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25519953,Here's What New Windows Should Cost You in 2025,"19,630",18,0,0,8,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25519945,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"356,842",418,1,150,284,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25519949,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"33,579",40,0,0,21,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25519948,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"46,965",87,0,0,47,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25519950,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"11,151",30,0,0,10,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25519956,Here's What New Windows Should Cost You in 2025,"45,874",46,0,0,37,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25519958,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"13,864",30,0,0,20,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25519947,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"71,440",98,0,0,56,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25519954,Here's What New Windows Should Cost You in 2025,"9,306",15,0,0,7,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25519952,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"45,342",52,0,0,31,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25519960,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"1,773",8,0,0,2,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25519955,Here's What New Windows Should Cost You in 2025,"1,609,534","1,273",3,450,332,1
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25519946,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"20,621",33,0,0,18,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25519951,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"5,498",9,0,0,4,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25519957,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"9,498",21,0,0,13,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25519959,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"21,046",50,0,0,29,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25520042,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"62,747",231,0,0,78,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25520050,Here's What New Windows Should Cost You in 2025,"14,497",61,1,150,16,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25520046,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"10,536",41,0,0,10,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25520055,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"14,010",84,0,0,31,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25520052,Here's What New Windows Should Cost You in 2025,"15,618",69,1,150,21,0
image (5),https://images.mediago.io/ML/5c11aa080773353c4c81493e1446956a__scv1__320x180.png,25520054,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"5,702",32,0,0,15,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25520047,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"18,628",85,0,0,28,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25520051,Here's What New Windows Should Cost You in 2025,"12,347",48,0,0,25,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25520056,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"15,377",92,0,0,35,0
window wall,https://images.mediago.io/ML/233ef3897ad37f898e82aae46746d0fa__scv1__320x180.png,25520043,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"127,035",741,2,150,232,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25520053,Here's What New Windows Should Cost You in 2025,"17,097",66,0,0,19,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25520045,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"17,957",72,1,0,19,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25520044,Here's Why These New Windows Are Trending in ${LOCATION_STATE},"39,488",173,1,150,66,0
Fitting window,https://images.mediago.io/ML/f7581e697bd7e89f66f2f43509c33122__scv1__320x180.png,25520048,Affordably Luxury Windows Are Finally Available In ${LOCATION_STATE},"12,118",54,0,0,17,0
New window carry,https://images.mediago.io/ML/13c9344c371512bc4cf98732f8910072__scv1__320x180.png,25520057,${LOCATION_STATE}: Stunning Windows Cutting Noise & Energy Bills Now Available,"2,526",13,1,0,2,0
