assetname,MediaType,Image URL,Video URL,Type,assetid,headline,description,CTA,Impressions,Clicks,Leads,Revenue,Spend,Booked Appts
gutters_v19,Image,https://cdn.taboola.com/libtrc/static/thumbnails/0fa6652e8e68327f810892b0d8b4c92a.jpg,,,4179322549,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"546,427","2,548",11,$664,"$1,617",1
gutters_v16,Image,https://cdn.taboola.com/libtrc/static/thumbnails/b59e3c1d0c915d1d3e14b8aa13b66338.jpg,,,4179322550,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"584,989","2,828",9,$367,"$1,802",0
gutters_v20,Image,https://cdn.taboola.com/libtrc/static/thumbnails/f9f915db0afe4c3126eb8bd8a10c3ad4.jpg,,,4179322551,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"249,309","1,532",2,$124,$673,0
gutters_v21,Image,https://cdn.taboola.com/libtrc/static/thumbnails/0fa6652e8e68327f810892b0d8b4c92a.jpg,,,4179322552,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"569,207","2,528",6,$269,"$1,057",0
gutters_v22,Image,https://cdn.taboola.com/libtrc/static/thumbnails/b59e3c1d0c915d1d3e14b8aa13b66338.jpg,,,4179322554,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"822,626","4,151",15,$662,"$1,758",0
gutters_v17,Image,https://cdn.taboola.com/libtrc/static/thumbnails/f9f915db0afe4c3126eb8bd8a10c3ad4.jpg,,,4179322556,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"510,349","2,680",1,$62,$838,0
gutters_v23,Image,https://cdn.taboola.com/libtrc/static/thumbnails/0fa6652e8e68327f810892b0d8b4c92a.jpg,,,4179322558,The Surprising Cost of a New Gutter System in 2025,,,"750,161","2,956",5,$302,"$1,296",0
gutters_v18,Image,https://cdn.taboola.com/libtrc/static/thumbnails/b59e3c1d0c915d1d3e14b8aa13b66338.jpg,,,4179322559,The Surprising Cost of a New Gutter System in 2025,,,"691,590","2,540",3,$183,"$1,058",0
gutters_v24,Image,https://cdn.taboola.com/libtrc/static/thumbnails/f9f915db0afe4c3126eb8bd8a10c3ad4.jpg,,,4179322562,The Surprising Cost of a New Gutter System in 2025,,,"547,287","1,997",1,$62,$759,0
gutters_v8,Image,https://cdn.taboola.com/libtrc/static/thumbnails/0fa6652e8e68327f810892b0d8b4c92a.jpg,,,4179364555,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"696,799",811,0,$1,$810,0
gutters_v7,Image,https://cdn.taboola.com/libtrc/static/thumbnails/b59e3c1d0c915d1d3e14b8aa13b66338.jpg,,,4179364556,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"1,253,504","1,484",1,$61,"$1,191",0
gutters_v9,Image,https://cdn.taboola.com/libtrc/static/thumbnails/f9f915db0afe4c3126eb8bd8a10c3ad4.jpg,,,4179364557,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"630,666",564,0,$1,$578,0
gutters_v10,Image,https://cdn.taboola.com/libtrc/static/thumbnails/0fa6652e8e68327f810892b0d8b4c92a.jpg,,,4179364558,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"1,640,290","2,690",2,$61,"$1,464",0
gutters_v11,Image,https://cdn.taboola.com/libtrc/static/thumbnails/b59e3c1d0c915d1d3e14b8aa13b66338.jpg,,,4179364559,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"1,337,421","1,865",1,$61,"$1,207",0
gutters_v12,Image,https://cdn.taboola.com/libtrc/static/thumbnails/f9f915db0afe4c3126eb8bd8a10c3ad4.jpg,,,4179364560,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"1,309,736","1,790",0,$1,$960,0
gutters_v13,Image,https://cdn.taboola.com/libtrc/static/thumbnails/0fa6652e8e68327f810892b0d8b4c92a.jpg,,,4179364561,The Surprising Cost of a New Gutter System in 2025,,,"1,424,421","1,686",0,$1,"$1,219",0
gutters_v14,Image,https://cdn.taboola.com/libtrc/static/thumbnails/b59e3c1d0c915d1d3e14b8aa13b66338.jpg,,,4179364562,The Surprising Cost of a New Gutter System in 2025,,,"1,380,933","1,520",1,$61,"$1,137",0
gutters_v15,Image,https://cdn.taboola.com/libtrc/static/thumbnails/f9f915db0afe4c3126eb8bd8a10c3ad4.jpg,,,4179364563,The Surprising Cost of a New Gutter System in 2025,,,"471,955",440,0,$1,$514,0
gutters_v25,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,,,4179411973,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"1,103,578","4,102",5,$122,"$1,991",1
gutters_v26,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,,,4179412245,The Surprising Cost of a New Gutter System in 2025,,,"1,612,407","5,068",3,$182,"$2,186",1
gutters_v27,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,,,4179412289,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"611,594","2,375",0,$3,"$1,080",0
gutters_v6,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,,,4179414097,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"2,322,930","3,360",3,$181,"$2,011",0
gutters_v3,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,,,4179414159,${city:capitalized}$: Affordable New Gutter Systems Available in These ZIPs,,,"1,726,768","3,152",2,$121,"$1,751",1
gutters_v1,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/0f64a7c7268132fc41673f47b81cc77c.jpg,,,4179414212,The Surprising Cost of a New Gutter System in 2025,,,"3,414,605","5,433",4,$241,"$3,023",0
gutters_v28,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/df25dca3520ffcb797a0533c1e61d4b3.jpeg,,,4179429459,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"739,165","3,061",2,$122,"$1,861",1
gutters_v29,Motion-Ads,https://cdn.taboola.com/libtrc/static/thumbnails/6556900343b777612ae1d837e4ee2b03.jpg,,,4179429645,Here's the Average Price of a 6-Hour Gutter Guards Upgrade,,,"631,947","2,221",0,$2,$901,0
